,id,ori_path,adv_path,audibility2
103279,5142-36377-0017-i1,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/5142/36377/5142-36377-0017.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_5142-36377-0017_adv_x/wav_x_adv_i1_0.0463323711782875.wav,0.0463323711782875
104134,2094-142345-0036-i4,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/2094/142345/2094-142345-0036.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_2094-142345-0036_adv_x/wav_x_adv_i4_0.04637995993595339.wav,0.04637995993595339
105779,1580-141084-0031-i4,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1580/141084/1580-141084-0031.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1580-141084-0031_adv_x/wav_x_adv_i4_0.05266859819791765.wav,0.05266859819791765
107350,6829-68769-0038-i1,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/6829/68769/6829-68769-0038.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_6829-68769-0038_adv_x/wav_x_adv_i1_0.042806478525159466.wav,0.042806478525159466
110744,4446-2271-0010-i1,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/4446/2271/4446-2271-0010.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_4446-2271-0010_adv_x/wav_x_adv_i1_0.054962240098325676.wav,0.054962240098325676
111337,3729-6852-0039-i2,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/3729/6852/3729-6852-0039.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_3729-6852-0039_adv_x/wav_x_adv_i2_0.04398107554051508.wav,0.04398107554051508
112871,7729-102255-0044-i4,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/7729/102255/7729-102255-0044.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_7729-102255-0044_adv_x/wav_x_adv_i4_0.05331036973154337.wav,0.05331036973154337
117472,3575-170457-0056-i1,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/3575/170457/3575-170457-0056.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_3575-170457-0056_adv_x/wav_x_adv_i1_0.05369138228294338.wav,0.05369138228294338
120897,6829-68771-0036-i3,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/6829/68771/6829-68771-0036.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_6829-68771-0036_adv_x/wav_x_adv_i3_0.0480164498924351.wav,0.0480164498924351
122794,6829-68771-0030-i3,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/6829/68771/6829-68771-0030.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_6829-68771-0030_adv_x/wav_x_adv_i3_0.04997708260807123.wav,0.04997708260807123
