,id,ori_path,adv_path,audibility2
436,6930-76324-0021-i97,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/6930/76324/6930-76324-0021.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_6930-76324-0021_adv_x/wav_x_adv_i97_43.95405594952675.wav,43.95405594952675
771,2300-131720-0032-i11,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/2300/131720/2300-131720-0032.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_2300-131720-0032_adv_x/wav_x_adv_i11_32.291974105989105.wav,32.291974105989105
1097,8455-210777-0010-i376,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/8455/210777/8455-210777-0010.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_8455-210777-0010_adv_x/wav_x_adv_i376_48.07033225568651.wav,48.07033225568651
1147,8455-210777-0010-i377,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/8455/210777/8455-210777-0010.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_8455-210777-0010_adv_x/wav_x_adv_i377_36.94428759821318.wav,36.94428759821318
2167,121-121726-0009-i4,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/121/121726/121-121726-0009.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_121-121726-0009_adv_x/wav_x_adv_i4_37.403743520830226.wav,37.403743520830226
8732,3729-6852-0044-i11,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/3729/6852/3729-6852-0044.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_3729-6852-0044_adv_x/wav_x_adv_i11_55.533682968453896.wav,55.533682968453896
9212,6829-68769-0043-i18,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/6829/68769/6829-68769-0043.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_6829-68769-0043_adv_x/wav_x_adv_i18_36.37215465084557.wav,36.37215465084557
9421,6829-68769-0043-i17,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/6829/68769/6829-68769-0043.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_6829-68769-0043_adv_x/wav_x_adv_i17_59.79540983080653.wav,59.79540983080653
9797,4446-2271-0011-i5,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/4446/2271/4446-2271-0011.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_4446-2271-0011_adv_x/wav_x_adv_i5_45.19995089549635.wav,45.19995089549635
9892,4446-2271-0011-i3,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/4446/2271/4446-2271-0011.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_4446-2271-0011_adv_x/wav_x_adv_i3_45.48819802214222.wav,45.48819802214222
10285,7127-75947-0015-i7,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/7127/75947/7127-75947-0015.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_7127-75947-0015_adv_x/wav_x_adv_i7_42.39099240948937.wav,42.39099240948937
11797,4446-2275-0042-i4,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/4446/2275/4446-2275-0042.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_4446-2275-0042_adv_x/wav_x_adv_i4_32.427071129589876.wav,32.427071129589876
13176,3729-6852-0037-i19,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/3729/6852/3729-6852-0037.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_3729-6852-0037_adv_x/wav_x_adv_i19_54.95621628936358.wav,54.95621628936358
13215,3729-6852-0037-i18,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/3729/6852/3729-6852-0037.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_3729-6852-0037_adv_x/wav_x_adv_i18_32.07733135003616.wav,32.07733135003616
14459,8224-274384-0010-i15,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/8224/274384/8224-274384-0010.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_8224-274384-0010_adv_x/wav_x_adv_i15_57.968023380442744.wav,57.968023380442744
17116,2300-131720-0018-i13,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/2300/131720/2300-131720-0018.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_2300-131720-0018_adv_x/wav_x_adv_i13_44.829844273988385.wav,44.829844273988385
17618,5142-33396-0056-i220,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/5142/33396/5142-33396-0056.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_5142-33396-0056_adv_x/wav_x_adv_i220_41.40727531629896.wav,41.40727531629896
17685,5142-33396-0056-i219,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/5142/33396/5142-33396-0056.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_5142-33396-0056_adv_x/wav_x_adv_i219_49.84105217178764.wav,49.84105217178764
17942,5142-33396-0056-i221,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/5142/33396/5142-33396-0056.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_5142-33396-0056_adv_x/wav_x_adv_i221_34.816926474083346.wav,34.816926474083346
17984,5142-33396-0056-i218,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/5142/33396/5142-33396-0056.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_5142-33396-0056_adv_x/wav_x_adv_i218_60.78580304764824.wav,60.78580304764824
18732,7729-102255-0021-i8,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/7729/102255/7729-102255-0021.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_7729-102255-0021_adv_x/wav_x_adv_i8_35.51630388238246.wav,35.51630388238246
21549,4446-2271-0018-i4,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/4446/2271/4446-2271-0018.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_4446-2271-0018_adv_x/wav_x_adv_i4_38.78467775495259.wav,38.78467775495259
21715,4446-2271-0018-i6,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/4446/2271/4446-2271-0018.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_4446-2271-0018_adv_x/wav_x_adv_i6_51.092676849036465.wav,51.092676849036465
21882,4446-2271-0018-i3,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/4446/2271/4446-2271-0018.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_4446-2271-0018_adv_x/wav_x_adv_i3_50.01244686980325.wav,50.01244686980325
26117,4446-2273-0002-i115,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/4446/2273/4446-2273-0002.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_4446-2273-0002_adv_x/wav_x_adv_i115_49.54233814057823.wav,49.54233814057823
26233,4446-2273-0002-i116,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/4446/2273/4446-2273-0002.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_4446-2273-0002_adv_x/wav_x_adv_i116_34.49006520851873.wav,34.49006520851873
26915,6930-76324-0005-i221,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/6930/76324/6930-76324-0005.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_6930-76324-0005_adv_x/wav_x_adv_i221_32.73472969004711.wav,32.73472969004711
27523,1089-134686-0027-i50,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1089/134686/1089-134686-0027.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1089-134686-0027_adv_x/wav_x_adv_i50_49.84433434410179.wav,49.84433434410179
27536,1089-134686-0027-i54,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1089/134686/1089-134686-0027.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1089-134686-0027_adv_x/wav_x_adv_i54_54.166877159728784.wav,54.166877159728784
27592,1089-134686-0027-i56,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1089/134686/1089-134686-0027.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1089-134686-0027_adv_x/wav_x_adv_i56_62.42517052709182.wav,62.42517052709182
27604,1089-134686-0027-i55,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1089/134686/1089-134686-0027.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1089-134686-0027_adv_x/wav_x_adv_i55_57.860048560983316.wav,57.860048560983316
